numeroPedido,clienteId,fechaEntrega,estado,zonaEntrega,requiereRefrigeracion
P3124,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3125,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3126,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3127,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3128,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3129,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3130,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3131,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3132,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3133,CLI-123,2025-11-23,PENDIENTE,ZONA2,TRUE
P3134,CLI-123,2025-11-23,PENDIENTE,ZONA2,TRUE
P3135,CLI-123,2025-11-23,PENDIENTE,ZONA2,TRUE
P3136,CLI-123,2025-11-23,PENDIENTE,ZONA2,TRUE
P3137,CLI-123,2025-11-23,PENDIENTE,ZONA2,TRUE
P3138,CLI-123,2025-11-23,PENDIENTE,ZONA2,TRUE
P3139,CLI-123,2025-11-23,PENDIENTE,ZONA2,TRUE
P3140,CLI-123,2025-11-23,PENDIENTE,ZONA2,TRUE
P3141,CLI-123,2025-11-23,PENDIENTE,ZONA2,TRUE
P3142,CLI-123,2025-11-23,PENDIENTE,ZONA2,TRUE
P3143,CLI-123,2025-11-23,PENDIENTE,ZONA2,TRUE
P3144,CLI-123,2025-11-23,PENDIENTE,ZONA2,TRUE
P3145,CLI-123,2025-11-23,PENDIENTE,ZONA2,TRUE
P3146,CLI-123,2025-11-23,PENDIENTE,ZONA2,TRUE
P3147,CLI-123,2025-11-23,PENDIENTE,ZONA2,TRUE
P3148,CLI-123,2025-11-23,PENDIENTE,ZONA2,TRUE
P3149,CLI-123,2025-11-23,PENDIENTE,ZONA3,TRUE
P3150,CLI-123,2025-11-23,PENDIENTE,ZONA3,TRUE
P3151,CLI-123,2025-11-23,PENDIENTE,ZONA3,TRUE
P3152,CLI-123,2025-11-23,PENDIENTE,ZONA3,TRUE
P3153,CLI-123,2025-11-23,PENDIENTE,ZONA3,TRUE
P3154,CLI-123,2025-11-23,PENDIENTE,ZONA3,TRUE
P3155,CLI-123,2025-11-23,PENDIENTE,ZONA3,TRUE
P3156,CLI-123,2025-11-23,PENDIENTE,ZONA3,TRUE
P3157,CLI-123,2025-11-23,PENDIENTE,ZONA3,TRUE
P3158,CLI-124,2025-11-23,PENDIENTE,ZONA3,TRUE
P3159,CLI-125,2025-11-23,PENDIENTE,ZONA3,TRUE
P3160,CLI-126,2025-11-23,PENDIENTE,ZONA3,TRUE
P3161,CLI-127,2025-11-23,PENDIENTE,ZONA3,TRUE
P3162,CLI-128,2025-11-23,PENDIENTE,ZONA3,TRUE
P3163,CLI-129,2025-11-23,PENDIENTE,ZONA3,TRUE
P3164,CLI-130,2025-11-23,PENDIENTE,ZONA3,TRUE
P3165,CLI-131,2025-11-23,PENDIENTE,ZONA4,TRUE
P3166,CLI-132,2025-11-23,PENDIENTE,ZONA4,TRUE
P3167,CLI-133,2025-11-23,PENDIENTE,ZONA4,TRUE
P3168,CLI-134,2025-11-23,PENDIENTE,ZONA4,TRUE
P3169,CLI-135,2025-11-23,PENDIENTE,ZONA4,TRUE
P3170,CLI-136,2025-11-23,PENDIENTE,ZONA4,TRUE
P3171,CLI-137,2025-11-23,PENDIENTE,ZONA4,TRUE
P3172,CLI-138,2025-11-23,PENDIENTE,ZONA4,TRUE
P3173,CLI-139,2025-11-23,PENDIENTE,ZONA4,TRUE
P3174,CLI-140,2025-11-23,PENDIENTE,ZONA4,TRUE
P3175,CLI-141,2025-11-23,PENDIENTE,ZONA4,TRUE
P3176,CLI-142,2025-11-23,PENDIENTE,ZONA4,TRUE
P3177,CLI-143,2025-11-23,PENDIENTE,ZONA4,TRUE
P3178,CLI-144,2025-11-23,PENDIENTE,ZONA2,TRUE
P3179,CLI-145,2025-11-23,PENDIENTE,ZONA3,TRUE
P3180,CLI-146,2025-11-23,PENDIENTE,ZONA4,TRUE
P3181,CLI-147,2025-11-23,PENDIENTE,ZONA4,TRUE
P3182,CLI-148,2025-11-23,PENDIENTE,ZONA4,TRUE
P3183,CLI-149,2025-11-23,PENDIENTE,ZONA4,TRUE
P3184,CLI-150,2025-11-23,PENDIENTE,ZONA4,TRUE
P3185,CLI-151,2025-11-23,PENDIENTE,ZONA4,TRUE
P3186,CLI-152,2025-11-23,PENDIENTE,ZONA4,TRUE
P3187,CLI-153,2025-11-23,PENDIENTE,ZONA4,TRUE
P3188,CLI-154,2025-11-23,PENDIENTE,ZONA4,TRUE
P3189,CLI-155,2025-11-23,PENDIENTE,ZONA4,TRUE
P3190,CLI-156,2025-11-23,PENDIENTE,ZONA4,TRUE
P3191,CLI-157,2025-11-23,PENDIENTE,ZONA4,TRUE
P3192,CLI-158,2025-11-23,PENDIENTE,ZONA4,TRUE
P3193,CLI-159,2025-11-23,PENDIENTE,ZONA4,TRUE
P3194,CLI-160,2025-11-23,PENDIENTE,ZONA4,TRUE
P3195,CLI-161,2025-11-23,PENDIENTE,ZONA4,TRUE
P3196,CLI-162,2025-11-23,PENDIENTE,ZONA4,TRUE
P3197,CLI-163,2025-11-23,PENDIENTE,ZONA4,TRUE
P3198,CLI-164,2025-11-23,PENDIENTE,ZONA4,TRUE
P3199,CLI-165,2025-11-23,PENDIENTE,ZONA4,TRUE
P3200,CLI-166,2025-11-23,PENDIENTE,ZONA4,TRUE
P3201,CLI-167,2025-11-23,PENDIENTE,ZONA4,TRUE
P3202,CLI-168,2025-11-23,PENDIENTE,ZONA4,TRUE
P3203,CLI-169,2025-11-23,PENDIENTE,ZONA4,TRUE
P3204,CLI-170,2025-11-23,PENDIENTE,ZONA4,TRUE
P3205,CLI-171,2025-11-23,PENDIENTE,ZONA4,TRUE
P3206,CLI-172,2025-11-23,PENDIENTE,ZONA4,TRUE
P3207,CLI-173,2025-11-23,PENDIENTE,ZONA4,TRUE
P3208,CLI-174,2025-11-23,PENDIENTE,ZONA4,TRUE
P3209,CLI-175,2025-11-23,PENDIENTE,ZONA4,TRUE
P3210,CLI-176,2025-11-23,PENDIENTE,ZONA4,TRUE
P3211,CLI-177,2025-11-23,PENDIENTE,ZONA4,TRUE
P3212,CLI-178,2025-11-23,PENDIENTE,ZONA4,TRUE
P3213,CLI-179,2025-11-23,PENDIENTE,ZONA4,TRUE
P3214,CLI-180,2025-11-23,PENDIENTE,ZONA4,TRUE
P3215,CLI-181,2025-11-23,PENDIENTE,ZONA4,TRUE
P3216,CLI-182,2025-11-23,PENDIENTE,ZONA4,TRUE
P3217,CLI-183,2025-11-23,PENDIENTE,ZONA4,TRUE
P3218,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3219,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3220,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3221,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3222,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3223,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3224,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3225,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3226,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3227,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3228,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3229,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3230,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3231,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3232,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3233,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3234,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3235,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3236,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3237,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3238,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3239,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3240,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3241,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3242,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3243,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3244,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3245,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3246,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3247,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3248,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3249,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3250,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3251,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3252,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3253,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3254,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3255,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3256,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3257,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3258,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3259,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3260,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3261,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3262,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3263,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3264,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3265,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3266,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3267,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3268,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3269,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3270,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3271,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3272,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3273,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3274,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3275,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3276,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3277,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3278,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3279,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3280,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3281,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3282,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3283,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3284,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3285,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3286,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3287,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3288,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3289,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3290,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3291,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3292,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3293,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3294,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3295,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3296,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3297,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3298,CLI-123,2025-11-23,PENDIENTE,ZONA4,TRUE
P3299,CLI-150,2025-11-23,PENDIENTE,ZONA4,TRUE
